action_id,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
174,walking_1_0,4,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
175,walking_1_0,4,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
176,walking_1_0,4,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
177,walking_1_0,4,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
178,walking_1_0,4,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
179,walking_1_0,4,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
180,walking_1_0,5,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
181,walking_1_0,5,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
182,walking_1_0,5,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
183,walking_1_0,5,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
184,walking_1_0,5,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
185,walking_1_0,5,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
186,walking_1_0,5,low,random,page_4KB,120,1024,4,0,True,10,2.178
187,walking_1_0,5,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
188,walking_1_0,5,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
189,walking_1_0,5,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
190,walking_1_0,5,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
191,walking_1_0,5,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
192,walking_1_0,5,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
193,walking_1_0,5,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
194,walking_1_0,5,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
195,walking_1_0,5,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
196,walking_1_0,5,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
197,walking_1_0,5,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
198,walking_1_0,5,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
199,walking_1_0,5,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
200,walking_1_0,5,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
201,walking_1_0,5,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
202,walking_1_0,5,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
203,walking_1_0,5,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
204,walking_1_0,5,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
205,walking_1_0,5,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
206,walking_1_0,5,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
207,walking_1_0,5,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
208,walking_1_0,5,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
209,walking_1_0,5,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
210,walking_1_0,5,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
211,walking_1_0,5,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
212,walking_1_0,5,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
213,walking_1_0,5,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
214,walking_1_0,5,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
215,walking_1_0,5,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
216,walking_1_0,6,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
217,walking_1_0,6,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
218,walking_1_0,6,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
219,walking_1_0,6,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
220,walking_1_0,6,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
221,walking_1_0,6,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
222,walking_1_0,6,low,random,page_4KB,120,1024,4,0,True,10,2.178
223,walking_1_0,6,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
224,walking_1_0,6,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
225,walking_1_0,6,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
226,walking_1_0,6,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
227,walking_1_0,6,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
228,walking_1_0,6,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
229,walking_1_0,6,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
230,walking_1_0,6,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
231,walking_1_0,6,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
232,walking_1_0,6,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
233,walking_1_0,6,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
234,walking_1_0,6,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
235,walking_1_0,6,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
236,walking_1_0,6,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
237,walking_1_0,6,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
238,walking_1_0,6,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
239,walking_1_0,6,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
240,walking_1_0,6,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
241,walking_1_0,6,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
242,walking_1_0,6,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
243,walking_1_0,6,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
244,walking_1_0,6,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
245,walking_1_0,6,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
246,walking_1_0,6,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
247,walking_1_0,6,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
248,walking_1_0,6,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
249,walking_1_0,6,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
250,walking_1_0,6,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
251,walking_1_0,6,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
252,walking_1_0,7,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
253,walking_1_0,7,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
254,walking_1_0,7,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
255,walking_1_0,7,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
256,walking_1_0,7,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
257,walking_1_0,7,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
258,walking_1_0,7,low,random,page_4KB,120,1024,4,0,True,10,2.178
259,walking_1_0,7,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
260,walking_1_0,7,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
261,walking_1_0,7,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
262,walking_1_0,7,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
263,walking_1_0,7,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
264,walking_1_0,7,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
265,walking_1_0,7,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
266,walking_1_0,7,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
267,walking_1_0,7,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
268,walking_1_0,7,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
269,walking_1_0,7,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
270,walking_1_0,7,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
271,walking_1_0,7,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
272,walking_1_0,7,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
273,walking_1_0,7,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
274,walking_1_0,7,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
275,walking_1_0,7,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
276,walking_1_0,7,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
277,walking_1_0,7,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
278,walking_1_0,7,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
279,walking_1_0,7,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
280,walking_1_0,7,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
281,walking_1_0,7,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
282,walking_1_0,7,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
283,walking_1_0,7,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
284,walking_1_0,7,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
285,walking_1_0,7,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
286,walking_1_0,7,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
287,walking_1_0,7,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
288,checkerboard,0,low,sequential,page_4KB,30,256,4,0,False,-1,0.969
289,checkerboard,0,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3679999999999999
290,checkerboard,0,low,sequential,page_4KB,120,1024,4,0,False,-1,1.7099999999999997
291,checkerboard,0,low,sequential,page_4KB,300,1024,4,0,False,-1,2.28
292,checkerboard,0,low,random,page_4KB,30,256,4,0,True,10,1.3464
293,checkerboard,0,low,random,page_4KB,60,1024,4,0,True,10,1.9008
294,checkerboard,0,low,random,page_4KB,120,1024,4,0,True,10,2.3760000000000003
295,checkerboard,0,low,random,page_4KB,300,1024,4,0,True,10,3.168
296,checkerboard,0,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.9747200000000003
297,checkerboard,0,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.7878400000000005
298,checkerboard,0,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.4848000000000003
299,checkerboard,0,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.646400000000001
300,checkerboard,0,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.317392
301,checkerboard,0,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.7808704000000004
302,checkerboard,0,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.171305600000001
303,checkerboard,0,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.561740800000001
304,checkerboard,0,medium,random,page_4KB,30,1024,8,4,True,10,2.9272320000000005
305,checkerboard,0,medium,random,page_4KB,60,1024,8,4,True,10,3.5126784000000004
306,checkerboard,0,medium,random,page_4KB,120,4096,8,4,True,10,5.269017600000001
307,checkerboard,0,medium,random,page_4KB,300,4096,8,4,True,10,7.025356800000001
308,checkerboard,0,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.293273600000001
309,checkerboard,0,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,5.151928320000001
