agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,2,1342,1,butterfly,5,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,2,1742,1,inversion,0,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.1017838399999995
random,2,38,1,walking_1_0,1,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
random,2,364,1,checkerboard,2,low,random,page_4KB,30,256,4,0,True,10,1.3464
random,2,1547,1,solid,2,high,rowhammer_like,page_4KB,300,0,16,8,True,1,18.925368000000002
random,2,1432,1,butterfly,7,high,random,page_4KB,30,4096,16,8,True,10,6.846839999999999
random,2,1755,1,inversion,0,high,sequential,page_4KB,300,0,16,8,True,-1,11.480160999999999
random,2,690,2,random,3,low,random,page_4KB,120,1024,4,0,True,10,1.98
random,2,1059,1,march,5,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.330001599999999
random,2,1597,1,solid,4,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.4332616000000002
random,2,617,1,random,1,low,random,page_4KB,60,1024,4,0,True,10,1.584
random,2,769,1,random,5,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.317392
random,2,1984,1,inversion,7,low,random,page_4KB,30,256,4,0,True,10,1.32396
random,2,106,1,walking_1_0,2,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
random,2,1721,1,solid,7,high,random,page_4KB,60,4096,16,8,True,10,6.636167999999999
random,2,1164,1,butterfly,0,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.510508
random,2,1545,1,solid,2,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,9.733046400000001
random,2,833,1,random,7,low,random,page_4KB,60,1024,4,0,True,10,1.584
random,2,362,1,checkerboard,2,low,sequential,page_4KB,120,1024,4,0,False,-1,1.7099999999999997
random,2,1162,1,butterfly,0,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,2,1930,1,inversion,5,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.599094272000001
random,2,1019,1,march,4,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.452800000000001
random,2,1303,1,butterfly,4,low,random,page_4KB,300,1024,4,0,True,10,3.4320000000000004
random,2,1244,1,butterfly,2,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.651046400000001
random,2,1911,1,inversion,5,low,sequential,page_4KB,300,1024,4,0,False,-1,2.242
random,2,897,1,march,0,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.660003199999998
random,2,721,1,random,4,low,sequential,page_4KB,60,1024,4,0,False,-1,1.14
random,2,340,1,checkerboard,1,medium,random,page_4KB,30,1024,8,4,True,10,2.9272320000000005
random,2,739,1,random,4,medium,random,page_4KB,300,4096,8,4,True,10,5.854464000000001
random,2,496,1,checkerboard,5,high,random,page_4KB,30,4096,16,8,True,10,6.320159999999999
random,2,602,1,random,0,high,sequential,page_4KB,120,4096,16,8,True,-1,6.254325
random,2,1963,1,inversion,6,medium,random,page_4KB,300,4096,8,4,True,10,6.90826752
random,2,809,1,random,6,medium,random,page_4KB,60,1024,8,4,True,10,2.9272320000000005
random,3,110,1,walking_1_0,3,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
random,3,1991,1,inversion,7,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.568960000000001
random,3,29,1,walking_1_0,0,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
random,3,76,1,walking_1_0,2,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
random,3,180,1,walking_1_0,5,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
random,3,235,1,walking_1_0,6,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
random,3,767,1,random,5,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,3.8720000000000008
random,3,1592,1,solid,4,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.7278800000000003
random,3,857,1,random,7,high,random,page_4KB,60,4096,16,8,True,10,6.320159999999999
random,3,1701,1,solid,7,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.43936
random,3,451,1,checkerboard,4,medium,random,page_4KB,300,4096,8,4,True,10,7.025356800000001
random,3,1514,1,solid,2,low,sequential,page_4KB,120,1024,4,0,False,-1,1.49625
random,3,347,1,checkerboard,1,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,10.303856640000001
