agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
ppo,24,836,1,random,7,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.6456000000000004
ppo,24,270,1,walking_1_0,7,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
ppo,24,1042,2,march,4,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
ppo,24,104,2,walking_1_0,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
ppo,24,1230,1,butterfly,2,low,random,page_4KB,120,1024,4,0,True,10,2.574
ppo,24,1581,1,solid,3,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,9.733046400000001
ppo,24,203,1,walking_1_0,5,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
ppo,24,34,18,walking_1_0,0,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
ppo,25,836,1,random,7,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.6456000000000004
ppo,25,270,1,walking_1_0,7,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
ppo,25,1042,1,march,4,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
ppo,25,104,1,walking_1_0,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
ppo,25,636,1,random,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.16955
ppo,25,1615,1,solid,4,high,random,page_4KB,300,0,16,8,True,10,12.903659999999999
ppo,25,203,1,walking_1_0,5,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
ppo,25,1331,1,butterfly,4,high,rowhammer_like,page_4KB,300,0,16,8,True,1,23.431408000000005
ppo,25,1403,5,butterfly,6,high,rowhammer_like,page_4KB,300,0,16,8,True,1,23.431408000000005
ppo,26,836,1,random,7,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.6456000000000004
ppo,26,270,1,walking_1_0,7,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
ppo,26,1042,1,march,4,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
ppo,26,104,1,walking_1_0,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
ppo,26,636,1,random,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.16955
ppo,26,1615,1,solid,4,high,random,page_4KB,300,0,16,8,True,10,12.903659999999999
ppo,26,203,1,walking_1_0,5,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
ppo,26,1331,1,butterfly,4,high,rowhammer_like,page_4KB,300,0,16,8,True,1,23.431408000000005
ppo,26,1403,12,butterfly,6,high,rowhammer_like,page_4KB,300,0,16,8,True,1,23.431408000000005
ppo,27,836,1,random,7,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.6456000000000004
ppo,27,270,1,walking_1_0,7,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
ppo,27,1042,1,march,4,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
ppo,27,104,1,walking_1_0,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
ppo,27,636,1,random,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.16955
ppo,27,1615,1,solid,4,high,random,page_4KB,300,0,16,8,True,10,12.903659999999999
ppo,27,203,1,walking_1_0,5,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
